SCHOOL,LOCATION,FALL 2021 ACCEPTANCE RATE
Curtis Institute of Music,"Philadelphia, PA",2%
California Institute of Technology,"Pasadena, CA",4%
Harvard University,"Cambridge, MA",4%
Massachusetts Institute of Technology,"Cambridge, MA",4%
Princeton University,"Princeton, NJ",4%
Stanford University,"Stanford, CA",4%
Yale University,"New Haven, CT",5%
Brown University,"Providence, RI",6%
Columbia University,"New York, NY",6%
Dartmouth College,"Hanover, NH",6%
Duke University,"Durham, NC",6%
University of Chicago,"Chicago, IL",6%
University of Pennsylvania,"Philadelphia, PA",6%
Juilliard School,"New York, NY",7%
Northwestern University,"Evanston, IL",7%
Pomona College,"Claremont, CA",7%
United States Naval Academy,"Annapolis, MD",7%
Vanderbilt University,"Nashville, TN",7%
Johns Hopkins University,"Baltimore, MD",8%
Swarthmore College,"Swarthmore, PA",8%
Amherst College,"Amherst, MA",9%
Bowdoin College,"Brunswick, ME",9%
Colby College,"Waterville, ME",9%
Cornell University,"Ithaca, NY",9%
Rice University,"Houston, TX",9%
Wiley College,"Marshall, TX",9%
Williams College,"Williamstown, MA",9%
Harvey Mudd College,"Claremont, CA",10%
Tulane University,"New Orleans, LA",10%
Barnard College,"New York, NY",11%
Claremont McKenna College,"Claremont, CA",11%
Grinnell College,"Grinnell, IA",11%
Tufts University,"Medford, MA",11%
United States Military Academy at West Point,"West Point, NY",11%
"University of California, Los Angeles","Los Angeles, CA",11%
Georgetown University,"Washington, DC",12%
United States Air Force Academy,"USAF Academy, CO",12%
Emory University,"Atlanta, GA",13%
Faulkner University,"Montgomery, AL",13%
Middlebury College,"Middlebury, VT",13%
New York University,"New York, NY",13%
United States Coast Guard Academy,"New London, CT",13%
University of Southern California,"Los Angeles, CA",13%
Washington University in St. Louis,"St. Louis, MO",13%
Carnegie Mellon University,"Pittsburgh, PA",14%
Colorado College,"Colorado Springs, CO",14%
Hamilton College,"Clinton, NY",14%
Cooper Union for the Advancement of Science and Art,"New York, NY",15%
"University of California, Berkeley","Berkeley, CA",15%
University of Notre Dame,"Notre Dame, IN",15%
Alice Lloyd College,"Pippa Passes, KY",16%
United States Merchant Marine Academy,"Kings Point, NY",16%
Wellesley College,"Wellesley, MA",16%
Bates College,"Lewiston, ME",17%
Colgate University,"Hamilton, NY",17%
Carleton College,"Northfield, MN",18%
Davidson College,"Davidson, NC",18%
Franklin W. Olin College of Engineering,"Needham, MA",18%
Georgia Institute of Technology,"Atlanta, GA",18%
Haverford College,"Haverford, PA",18%
Northeastern University,"Boston, MA",18%
Pitzer College,"Claremont, CA",18%
Boston College,"Chestnut Hill, MA",19%
Boston University,"Boston, MA",19%
College of the Ozarks,"Point Lookout, MO",19%
Rhode Island School of Design,"Providence, RI",19%
University of North Carolina at Chapel Hill,"Chapel Hill, NC",19%
Washington and Lee University,"Lexington, VA",19%
Wesleyan University,"Middletown, CT",19%
University of Michigan--Ann Arbor,"Ann Arbor, MI",20%
Vassar College,"Poughkeepsie, NY",20%
Webb Institute,"Glen Cove, NY",20%
Kettering College,"Kettering, OH",21%
University of Virginia,"Charlottesville, VA",21%
Chicago School of Professional Psychology at Los Angeles,"Los Angeles, CA",24%
Hillsdale College,"Hillsdale, MI",24%
Babson College,"Babson Park, MA",25%
Boston Architectural College,"Boston, MA",25%
Villanova University,"Villanova, PA",25%
Wake Forest University,"Winston-Salem, NC",25%
University of Montana Western,"Dillon, MT",26%
California Institute of the Arts,"Valencia, CA",27%
Lyon College,"Batesville, AR",27%
Pacific Oaks College,"Pasadena, CA",27%
Denison University,"Granville, OH",28%
Kentucky Christian University,"Grayson, KY",28%
North Carolina Wesleyan College,"Rocky Mount, NC",28%
University of Miami,"Coral Gables, FL",28%
Davis College,"Bible School Park, NY",29%
Rust College,"Holly Springs, MS",29%
"University of California, Irvine","Irvine, CA",29%
"University of California, Santa Barbara","Santa Barbara, CA",29%
University of Richmond,"Univ. of Richmond, VA",29%
University of Texas at Austin,"Austin, TX",29%
Case Western Reserve University,"Cleveland, OH",30%
Galen College of Nursing--Louisville,"Louisville, KY",30%
Plaza College,"Forest Hills, NY",30%
Scripps College,"Claremont, CA",30%
Smith College,"Northampton, MA",30%
University of Florida,"Gainesville, FL",30%
